RegionName,datesubstr,ZHVI_sfr,ZHVI_all,ZHVI_1br,ZHVI_2br,ZHVI_3br,ZHVI_4br,ZHVI_5br,ZHVI_con,ZHVI_sfr_CL,ZHVI_all_CL,ZHVI_1br_CL,ZHVI_2br_CL,ZHVI_3br_CL,ZHVI_4br_CL,ZHVI_5br_CL,ZHVI_con_CL
08619,2019-03,275438.02744699194,272381.67624743585,,199539.3428751989,269121.0926686305,312616.89213469037,,,186716.02251194732,186709.48172383689,122425.87252677634,140843.8464434406,168606.7104525183,244061.18823063085,251038.500862725,184705.70383366846
08619,2018-06,274566.56407738687,271427.7661854711,,200133.56758635057,270240.2747646542,312941.946263449,,,170124.43237531022,170200.0852756599,107494.15759844528,124497.04412138877,150988.24089591196,220325.94023265486,233125.8108226414,163599.98319003973
08620,2000-10,260184.7147347232,259979.2088704116,,206343.7327381682,234940.4042982753,295248.32067858207,,,257853.44146800498,258253.0977794727,,255539.33531247522,209339.97593636665,265572.14401046594,324709.8477354889,217854.4044064097
08620,2000-11,261830.36765196756,261623.87495840702,,207355.4408426272,236606.90625089392,297030.9035659878,,,257229.49845610445,257665.87326657004,,255632.8414627567,209324.47866453673,263567.7752286574,322312.04760825494,218596.9826423952
08620,2000-12,263571.85913281667,263365.97188831377,,208607.79426611235,238289.4053940301,298988.780777128,,,258655.91410017677,259125.7591386014,,256111.16616601052,210626.06975466313,263853.33545388514,321658.7223426399,220868.87863609128
08620,2000-01,256807.63431863915,256583.19177123197,,207021.00878054637,232377.23647414104,289045.27297558234,,,268798.28292208567,269118.5235915768,,258457.92466377415,214803.03838380368,272344.9224240964,326678.50251343864,222145.77963273553
08620,2000-02,255457.82951407725,255233.11378177497,,206646.58603827417,230959.3207699669,287824.33886881464,,,266060.5137287579,266385.64047838695,,256352.7510756473,213322.36635593665,270707.13925695047,325472.92384236044,220403.18541002765
08620,2000-03,253931.2051307336,253707.64560225097,,206134.53975965906,229583.55081908332,286534.5749342814,,,263766.3658943469,264101.823348663,,255431.32820696113,212239.15748897576,268986.5205466016,323829.70958247397,219303.1738641468
08620,2000-04,254490.91287111954,254267.03983890673,,207187.63719123017,230084.2464077914,287711.0570864942,,,263541.29861107346,263889.5814135127,,258829.28961341074,212943.19906079498,270053.6911973976,325967.57126136223,219922.86314693163
08620,2000-05,254434.60070707634,254212.51030766938,,207096.7310011651,230106.9322955612,288075.7143308896,,,263744.2473111609,264097.3990105478,,262766.6640342801,213475.0897611365,270438.0898938993,327205.56541989563,220702.43738190897
