RegionName,datesubstr,ZHVI_sfr,ZHVI_all,ZHVI_1br,ZHVI_2br,ZHVI_3br,ZHVI_4br,ZHVI_5br,ZHVI_con,ZHVI_sfr_CL,ZHVI_all_CL,ZHVI_1br_CL,ZHVI_2br_CL,ZHVI_3br_CL,ZHVI_4br_CL,ZHVI_5br_CL,ZHVI_con_CL
80904,2012-01,233963.34123568475,229490.71638933299,124090.57444676006,167132.31109517312,242914.09396832858,331002.89574723504,437798.5425029303,175295.0005948824,242343.4747684281,236749.76992137695,105576.5541693201,147619.77485031774,209957.43525287046,283129.8177850854,376040.605335496,125402.53703384569
80904,2022-03,435946.5467277523,423488.8332337821,280599.686700155,336737.7031579994,436376.89042584406,551929.2366114685,734859.0157328931,324018.4301813396,443793.57216046355,436648.5468576459,259767.8258313035,312966.8810713796,398979.4529371679,489692.87256936554,600900.1868419884,268220.0867686039
80904,2013-01,242458.1733994297,237328.78420122885,132435.9680453944,174048.65505323833,251355.28525293843,338123.0574198716,453793.1887459769,180534.20772112854,248450.3819637306,242581.4814805806,112424.84490322358,152138.495007054,214686.0435934864,289773.0912047861,382494.48005648155,128642.31279176111
80904,2001-12,272070.723991704,268353.5749976545,152441.47963722862,206763.64672423026,280077.15323771373,376844.2532242959,488026.0202661527,210296.21534804045,290462.2690918623,284737.47524016653,135636.7462316561,188274.33914955554,254676.5998804603,330421.2268061194,428727.2077329151,164606.47395095005
80904,2022-02,432407.96787136653,420481.9374228598,280271.10465313465,334697.1116984194,433329.20209631656,546428.1051010827,725961.5703781146,322956.2596187732,440414.82493019244,433330.94785958674,258596.36337977444,310329.91939637397,395710.9887197124,485880.227785399,595798.3601273717,266565.67470755137
80904,2022-11,422283.6065937381,410253.49244014383,272686.065123391,330228.56776813243,421464.6834420966,533201.2218384456,718929.0748044255,322503.7051508439,428798.4349351022,422198.82308862614,256457.5221376036,308272.5738417486,387375.51500098326,472248.27521341643,581739.956450785,268205.63460578816
80904,2021-12,425716.82087588415,414374.58390023216,277921.574236761,330366.18604637554,427067.8768309989,536620.5951970998,710548.7984943982,318675.6145837959,433128.462892289,426159.78401534766,254963.5642493146,304817.7738352523,388909.00523931056,477629.34282450104,584359.8298565632,261627.8934998909
80904,2000-07,246951.1182440782,243904.16018987648,133588.98262301902,187825.30072007107,256638.3092704564,342361.0344075455,441358.7237366512,196474.0844807494,264140.8945366034,258955.42698487375,121829.27571783308,170816.9953000078,231526.90512848223,300891.37379562715,388832.58804322674,150783.55406496036
80904,2022-10,426107.09853289905,413929.4290801319,274694.4959868129,332673.5085081823,425327.6691749519,538653.601286087,726864.4382744543,324201.10535486916,433569.08480038674,426853.9106478938,257881.21581245048,310762.9946609913,391524.7267943581,477768.1544163303,588187.305598645,270066.17300565605
80904,2000-09,248824.93472049895,245636.32839610116,134606.67775934786,189064.70104237847,258135.8108313399,344084.1209539307,444611.55108874995,196699.15563260377,266195.3220367988,260946.33138457112,122707.84985399984,172257.5885378684,233204.75155776416,303359.5837498313,392301.9320979721,151663.15956317497
