ZIP,Date,Forecast_ZHVI,Lower_95_CI,Upper_95_CI,MAE,MSE,RMSE
80906,2025-09-30,585475.5937432958,541571.5902315346,632938.7971080933,10531.008216624614,111693466.22911046,10568.512962054334
80906,2025-10-31,586551.6550204993,537676.6980423915,639869.3587799146,10531.008216624614,111693466.22911046,10568.512962054334
80906,2025-11-30,587421.8223804609,533626.7154882483,646640.0339290752,10531.008216624614,111693466.22911046,10568.512962054334
80907,2024-12-31,399270.68456834136,396643.49631151825,401915.27413944533,2973.1708355970914,9553790.604291318,3090.920672597619
80907,2025-01-31,398641.04070420255,393035.3725027268,404326.6597655333,2973.1708355970914,9553790.604291318,3090.920672597619
80907,2025-02-28,398162.54773845384,389192.68239323515,407339.1448336545,2973.1708355970914,9553790.604291318,3090.920672597619
80907,2025-03-31,397972.8016838514,385395.8335291251,410960.2053290617,2973.1708355970914,9553790.604291318,3090.920672597619
80907,2025-04-30,398065.85275234253,381730.65017065126,415100.07922238443,2973.1708355970914,9553790.604291318,3090.920672597619
80907,2025-05-31,397990.0985891535,377828.82974395726,419227.1899482741,2973.1708355970914,9553790.604291318,3090.920672597619
80907,2025-06-30,397871.7885498838,373862.57616317645,423422.85699863906,2973.1708355970914,9553790.604291318,3090.920672597619
80907,2025-07-31,397892.5987224743,370037.2367762836,427844.83393448277,2973.1708355970914,9553790.604291318,3090.920672597619
80907,2025-08-31,397874.45261040586,366210.3939642515,432276.31615361344,2973.1708355970914,9553790.604291318,3090.920672597619
80907,2025-09-30,397845.9509936153,362427.6708034696,436725.48613939574,2973.1708355970914,9553790.604291318,3090.920672597619
80907,2025-10-31,397431.00718434394,358363.43454483856,440757.59479249857,2973.1708355970914,9553790.604291318,3090.920672597619
80907,2025-11-30,396667.64798446547,354071.3894490497,444388.4133150768,2973.1708355970914,9553790.604291318,3090.920672597619
80908,2024-12-31,691498.7367297313,686534.9147615599,696498.4483926612,22610.916849865986,513512468.579804,22660.813502162804
80908,2025-01-31,691821.5973692649,681309.4521376202,702495.937910287,22610.916849865986,513512468.579804,22660.813502162804
80908,2025-02-28,693050.0828883377,676326.5866553944,710187.1002392904,22610.916849865986,513512468.579804,22660.813502162804
80908,2025-03-31,695531.4890956619,672180.8925106016,719693.2517923351,22610.916849865986,513512468.579804,22660.813502162804
80908,2025-04-30,698803.2208945384,668575.0316594744,730398.1130143376,22610.916849865986,513512468.579804,22660.813502162804
80908,2025-05-31,701585.9990094235,664395.1892332188,740858.636520423,22610.916849865986,513512468.579804,22660.813502162804
80908,2025-06-30,702964.3613742788,658880.4184916656,749997.8440603762,22610.916849865986,513512468.579804,22660.813502162804
80908,2025-07-31,704130.9512905794,653234.866870942,758992.548790771,22610.916849865986,513512468.579804,22660.813502162804
80908,2025-08-31,705667.8347605856,648037.8977757841,768422.7955260507,22610.916849865986,513512468.579804,22660.813502162804
80908,2025-09-30,707792.4287571379,643502.8930082036,778504.8484615616,22610.916849865986,513512468.579804,22660.813502162804
80908,2025-10-31,709955.7157819669,639136.7733477541,788621.6837929282,22610.916849865986,513512468.579804,22660.813502162804
80908,2025-11-30,711968.1291505035,634780.1714404196,798541.9830865739,22610.916849865986,513512468.579804,22660.813502162804
80909,2024-12-31,371588.8650831374,369475.4397039475,373714.3794034407,2010.905178179198,4201064.426281833,2049.649830161687
80909,2025-01-31,371747.8644295637,367164.6467419352,376388.29319281876,2010.905178179198,4201064.426281833,2049.649830161687
80909,2025-02-28,371880.7859053478,364437.5436204,379476.0483558418,2010.905178179198,4201064.426281833,2049.649830161687
80909,2025-03-31,372320.6463248981,361734.27997544425,383216.82890877814,2010.905178179198,4201064.426281833,2049.649830161687
80909,2025-04-30,372991.5852660141,359053.4353860254,387470.80230462266,2010.905178179198,4201064.426281833,2049.649830161687
