ZIP,Date,Forecast_ZHVI,Lower_95_CI,Upper_95_CI,MAE,MSE,RMSE
80910,2025-06-30,334167.9,287137.1171875,384132.5062499999,1628.875687391992,4119718.3512193263,2029.70893263525
80910,2025-07-31,336254.0,273543.4171875,403178.64062499994,1628.875687391992,4119718.3512193263,2029.70893263525
80910,2025-08-31,339115.47,297002.7171875,390416.41640625,1628.875687391992,4119718.3512193263,2029.70893263525
80910,2025-09-30,340243.2,293383.30234375,397167.36406249984,1628.875687391992,4119718.3512193263,2029.70893263525
80910,2025-10-31,335096.2,284766.91875,383066.5921874999,1628.875687391992,4119718.3512193263,2029.70893263525
80910,2025-11-30,333164.7,278698.7359375,379832.47265625,1628.875687391992,4119718.3512193263,2029.70893263525
80915,2024-12-31,388469.25,351650.5234375,432355.00156249997,8905.353220750583,93148608.13690726,9651.35265840531
80915,2025-01-31,380025.28,334203.95234375,422398.11249999993,8905.353220750583,93148608.13690726,9651.35265840531
80915,2025-02-28,383361.0,341922.0453125,417263.6828125,8905.353220750583,93148608.13690726,9651.35265840531
80915,2025-03-31,383571.12,344545.30859375,433537.07578124997,8905.353220750583,93148608.13690726,9651.35265840531
80915,2025-04-30,381866.25,344118.4953125,431475.0023437499,8905.353220750583,93148608.13690726,9651.35265840531
80915,2025-05-31,386262.53,340936.5734375,425417.00468749995,8905.353220750583,93148608.13690726,9651.35265840531
80915,2025-06-30,380026.16,341173.9953125,424295.24609374994,8905.353220750583,93148608.13690726,9651.35265840531
80915,2025-07-31,383572.25,343176.96171875,433120.57343749993,8905.353220750583,93148608.13690726,9651.35265840531
80915,2025-08-31,381284.9,335665.70625,426478.4484375,8905.353220750583,93148608.13690726,9651.35265840531
80915,2025-09-30,377120.7,330058.909375,424484.2007812499,8905.353220750583,93148608.13690726,9651.35265840531
80915,2025-10-31,381074.0,337387.84921875,428812.3101562499,8905.353220750583,93148608.13690726,9651.35265840531
80915,2025-11-30,377328.8,329016.75,420683.86874999997,8905.353220750583,93148608.13690726,9651.35265840531
80916,2024-12-31,353035.62,306880.90859375,399927.2640625,12785.028736187081,196947285.12931696,14033.7908324628
80916,2025-01-31,349194.2,305027.76328125,388426.28125,12785.028736187081,196947285.12931696,14033.7908324628
80916,2025-02-28,349963.16,308802.55703125,384632.6546875,12785.028736187081,196947285.12931696,14033.7908324628
80916,2025-03-31,351969.7,306738.89296875,393304.74296874995,12785.028736187081,196947285.12931696,14033.7908324628
80916,2025-04-30,348116.12,306591.38125,391845.1234375,12785.028736187081,196947285.12931696,14033.7908324628
80916,2025-05-31,349541.0,302902.82265625,393921.58359374997,12785.028736187081,196947285.12931696,14033.7908324628
80916,2025-06-30,351609.9,313199.67890625,392674.246875,12785.028736187081,196947285.12931696,14033.7908324628
80916,2025-07-31,346920.12,298562.51015625,389497.96953124995,12785.028736187081,196947285.12931696,14033.7908324628
80916,2025-08-31,351155.25,293710.5234375,393322.45781249995,12785.028736187081,196947285.12931696,14033.7908324628
80916,2025-09-30,349288.3,302423.7953125,402286.64843749994,12785.028736187081,196947285.12931696,14033.7908324628
80916,2025-10-31,344931.38,294751.825,389853.28984375,12785.028736187081,196947285.12931696,14033.7908324628
80916,2025-11-30,347603.9,296756.2875,391854.30625,12785.028736187081,196947285.12931696,14033.7908324628
80917,2024-12-31,421798.1,375989.23125,460670.5875,14281.578999310252,223660099.49193144,14955.26995717334
80917,2025-01-31,417549.2,370547.6125,463716.89375,14281.578999310252,223660099.49193144,14955.26995717334
80917,2025-02-28,414766.62,374858.809375,451122.3453125,14281.578999310252,223660099.49193144,14955.26995717334
80917,2025-03-31,419511.25,362201.484375,470068.32890625,14281.578999310252,223660099.49193144,14955.26995717334
80917,2025-04-30,423169.4,382074.053125,468248.25,14281.578999310252,223660099.49193144,14955.26995717334
80917,2025-05-31,423117.28,374828.57421875,468953.12656249997,14281.578999310252,223660099.49193144,14955.26995717334
80917,2025-06-30,421215.28,378167.66015625,462770.58515624993,14281.578999310252,223660099.49193144,14955.26995717334
80917,2025-07-31,423823.8,365734.8671875,468802.06406249997,14281.578999310252,223660099.49193144,14955.26995717334
80917,2025-08-31,425396.56,372446.765625,472642.5890625,14281.578999310252,223660099.49193144,14955.26995717334
80917,2025-09-30,427985.72,388856.803125,472505.43671875,14281.578999310252,223660099.49193144,14955.26995717334
80917,2025-10-31,429060.2,383869.11015625,480465.93984375,14281.578999310252,223660099.49193144,14955.26995717334
80917,2025-11-30,425345.03,380967.97734375,478919.82734375,14281.578999310252,223660099.49193144,14955.26995717334
80918,2024-12-31,461778.56,404850.653125,516610.78046874993,24443.559806188412,688830095.6752404,26245.57287763482
80918,2025-01-31,463167.72,420125.25703125,503268.35624999995,24443.559806188412,688830095.6752404,26245.57287763482
80918,2025-02-28,469302.53,425053.4265625,519799.66640625,24443.559806188412,688830095.6752404,26245.57287763482
80918,2025-03-31,468055.6,415321.8890625,520920.91796875,24443.559806188412,688830095.6752404,26245.57287763482
80918,2025-04-30,475425.44,416936.2765625,523171.1117187499,24443.559806188412,688830095.6752404,26245.57287763482
80918,2025-05-31,475072.6,409687.50625,536816.3203125,24443.559806188412,688830095.6752404,26245.57287763482
80918,2025-06-30,481761.62,428937.58125,548175.1312499999,24443.559806188412,688830095.6752404,26245.57287763482
80918,2025-07-31,484301.7,423480.31640625,547709.71875,24443.559806188412,688830095.6752404,26245.57287763482
80918,2025-08-31,486774.97,425653.06953125,547969.7531249999,24443.559806188412,688830095.6752404,26245.57287763482
80918,2025-09-30,491589.6,430908.39921875,564801.6015624999,24443.559806188412,688830095.6752404,26245.57287763482
80918,2025-10-31,500489.1,435525.02265625,556884.96875,24443.559806188412,688830095.6752404,26245.57287763482
80918,2025-11-30,501314.8,438734.22578125,582377.8109375,24443.559806188412,688830095.6752404,26245.57287763482
80919,2024-12-31,603019.56,541755.7921875,652859.0234375,26933.952438578086,882029684.1800658,29698.984564797258
80919,2025-01-31,608990.4,555404.28125,658415.209375,26933.952438578086,882029684.1800658,29698.984564797258
80919,2025-02-28,611425.06,546844.721875,662525.3953125,26933.952438578086,882029684.1800658,29698.984564797258
80919,2025-03-31,615655.6,562654.8640625,665068.1656249999,26933.952438578086,882029684.1800658,29698.984564797258
80919,2025-04-30,611867.56,550563.85,664877.4874999999,26933.952438578086,882029684.1800658,29698.984564797258
80919,2025-05-31,615446.2,541743.3421875,686153.79375,26933.952438578086,882029684.1800658,29698.984564797258
80919,2025-06-30,615966.75,558198.2515625,664441.1593749999,26933.952438578086,882029684.1800658,29698.984564797258
80919,2025-07-31,615704.1,554098.2609375,676429.5453125,26933.952438578086,882029684.1800658,29698.984564797258
80919,2025-08-31,620943.25,545187.2,686881.9874999999,26933.952438578086,882029684.1800658,29698.984564797258
